timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779824932769,7144,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575331,139,8,8,http://10.6.101.163:30080/api/productos/list,5064,0,130
1779824932991,221,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,8,8,http://10.6.101.163:30080/api/categorias/list,221,0,0
1779824935263,8739,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575451,139,10,10,http://10.6.101.163:30080/api/productos/list,7756,0,8
1779824935359,6837,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3575460,139,10,10,http://10.6.101.163:30080/api/productos/list,5976,0,142
1779824935432,168,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,10,10,http://10.6.101.163:30080/api/categorias/list,168,0,0
1779824936595,6074,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-6,text,true,,3575491,139,12,12,http://10.6.101.163:30080/api/productos/list,5520,0,6
1779824936767,171,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-6,text,true,,794,140,12,12,http://10.6.101.163:30080/api/categorias/list,171,0,0
1779824936932,1572,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,12,12,http://10.6.101.163:30080/api/categorias/list,1572,0,0
1779824941908,14384,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3575283,139,17,17,http://10.6.101.163:30080/api/productos/list,9001,0,63
1779824943114,7680,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575539,139,18,18,http://10.6.101.163:30080/api/productos/list,6377,0,0
1779824943314,7793,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-11,text,true,,3575539,139,18,18,http://10.6.101.163:30080/api/productos/list,6613,0,4
1779824943397,1488,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,18,18,http://10.6.101.163:30080/api/categorias/list,1488,0,0
1779824944058,743,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-11,text,true,,794,140,19,19,http://10.6.101.163:30080/api/categorias/list,742,0,0
1779824945143,2029,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,2029,0,0
1779824946170,16649,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-5,text,true,,3575411,139,20,20,http://10.6.101.163:30080/api/productos/list,13446,0,8
1779824946511,14990,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-7,text,true,,3575379,139,20,20,http://10.6.101.163:30080/api/productos/list,11725,0,71
1779824946570,399,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-5,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,399,0,0
1779824946821,309,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-7,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,309,0,0
1779824947048,10281,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-6,text,true,,3575531,139,20,20,http://10.6.101.163:30080/api/productos/list,8970,0,0
1779824947428,379,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-6,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,379,0,0
1779824947589,10656,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3575507,139,20,20,http://10.6.101.163:30080/api/productos/list,9555,0,0
1779824948168,10648,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-13,text,true,,3575475,139,20,20,http://10.6.101.163:30080/api/productos/list,9328,0,10
1779824948543,374,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-13,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,374,0,0
1779824948731,1141,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,1141,0,0
1779824950253,17733,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-8,text,true,,3575459,139,20,20,http://10.6.101.163:30080/api/productos/list,14509,0,10
1779824950466,16946,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-9,text,true,,3575467,139,20,20,http://10.6.101.163:30080/api/productos/list,13946,0,8
1779824950884,17892,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575483,139,20,20,http://10.6.101.163:30080/api/productos/list,15907,0,0
1779824951153,686,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-9,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,686,0,0
1779824951284,1031,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-8,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,1031,0,0
1779824952251,12730,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-15,text,true,,3575491,139,20,20,http://10.6.101.163:30080/api/productos/list,11623,0,4
1779824952302,1417,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,1417,0,0
1779824952346,17825,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-10,text,true,,3575492,139,20,20,http://10.6.101.163:30080/api/productos/list,14808,0,6
1779824952561,309,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-15,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,309,0,0
1779824952699,353,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-10,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,353,0,0
1779824953036,12515,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-16,text,true,,3575491,139,20,20,http://10.6.101.163:30080/api/productos/list,11358,0,5
1779824953367,331,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-16,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,331,0,0
1779824954226,12706,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-17,text,true,,3575499,139,20,20,http://10.6.101.163:30080/api/productos/list,11377,0,8
1779824954548,321,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-17,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,321,0,0
1779824954774,18252,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-12,text,true,,3575523,139,20,20,http://10.6.101.163:30080/api/productos/list,16797,0,3
1779824955157,382,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-12,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,382,0,0
1779824955249,16728,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-14,text,true,,3575467,139,20,20,http://10.6.101.163:30080/api/productos/list,15376,0,6
1779824955376,11317,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-11,text,true,,3575515,139,20,20,http://10.6.101.163:30080/api/productos/list,10353,0,0
1779824955524,13002,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-18,text,true,,3575491,139,20,20,http://10.6.101.163:30080/api/productos/list,12054,0,5
1779824956064,539,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-18,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,539,0,0
1779824956093,717,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-11,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,717,0,0
1779824956394,11250,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575515,139,20,20,http://10.6.101.163:30080/api/productos/list,10145,0,0
1779824956820,424,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,424,0,0
1779824957144,1895,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-14,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,1895,0,0
1779824957546,10117,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-6,text,true,,3575531,139,20,20,http://10.6.101.163:30080/api/productos/list,9480,0,0
1779824957806,258,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-6,text,true,,794,140,20,20,http://10.6.101.163:30080/api/categorias/list,258,0,0
