timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779822325655,3083,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575275,139,4,4,http://10.6.101.163:30080/api/productos/list,2466,0,27
1779822326895,1238,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,5,5,http://10.6.101.163:30080/api/categorias/list,1238,0,0
1779822327468,3032,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3575117,139,6,6,http://10.6.101.163:30080/api/productos/list,2592,0,4
1779822327677,208,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,208,0,0
1779822328643,5208,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575483,139,7,7,http://10.6.101.163:30080/api/productos/list,4395,0,16
1779822329441,4006,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3575499,139,8,8,http://10.6.101.163:30080/api/productos/list,3485,0,8
1779822329591,947,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,8,8,http://10.6.101.163:30080/api/categorias/list,947,0,0
1779822329625,183,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,8,8,http://10.6.101.163:30080/api/categorias/list,182,0,0
1779822330092,3657,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-5,text,true,,3575467,139,8,8,http://10.6.101.163:30080/api/productos/list,3147,0,5
1779822330270,177,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-5,text,true,,794,140,8,8,http://10.6.101.163:30080/api/categorias/list,177,0,0
1779822331032,4136,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575467,139,9,9,http://10.6.101.163:30080/api/productos/list,3454,0,0
1779822331246,213,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,9,9,http://10.6.101.163:30080/api/categorias/list,213,0,0
1779822332506,4828,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3575419,139,11,11,http://10.6.101.163:30080/api/productos/list,3552,0,0
1779822332612,5177,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-6,text,true,,3574701,139,11,11,http://10.6.101.163:30080/api/productos/list,3795,0,16
1779822332700,193,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,11,11,http://10.6.101.163:30080/api/categorias/list,193,0,0
1779822332812,199,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-6,text,true,,794,140,11,11,http://10.6.101.163:30080/api/categorias/list,199,0,0
1779822335142,5709,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-8,text,true,,3575491,139,13,13,http://10.6.101.163:30080/api/productos/list,4924,0,6
1779822335412,270,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-8,text,true,,794,140,13,13,http://10.6.101.163:30080/api/categorias/list,270,0,0
1779822335515,7082,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-7,text,true,,3574535,139,14,14,http://10.6.101.163:30080/api/productos/list,6311,0,10
1779822335974,6349,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3575459,139,14,14,http://10.6.101.163:30080/api/productos/list,5411,0,0
1779822336111,6519,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575380,139,14,14,http://10.6.101.163:30080/api/productos/list,5517,0,0
1779822336202,227,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,14,14,http://10.6.101.163:30080/api/categorias/list,227,0,0
1779822336341,229,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,14,14,http://10.6.101.163:30080/api/categorias/list,229,0,0
1779822336742,1226,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-7,text,true,,794,140,15,15,http://10.6.101.163:30080/api/categorias/list,1225,0,0
1779822337014,6581,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-9,text,true,,3575531,139,15,15,http://10.6.101.163:30080/api/productos/list,5788,0,10
1779822337606,592,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-9,text,true,,794,140,16,16,http://10.6.101.163:30080/api/categorias/list,592,0,0
1779822338233,6986,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575491,139,16,16,http://10.6.101.163:30080/api/productos/list,5852,0,0
1779822338277,8006,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-5,text,true,,3575444,139,16,16,http://10.6.101.163:30080/api/productos/list,7209,0,0
